session_id,route,facility,search_term,dwell_seconds,converted_to_report,observed_at
WS-000000,/explore,Aryabhatt Bhawan II,parking,20,0,2025-08-04T11:00:00+05:30
WS-000001,/explore,H4 Boys Hostel,wifi,40,0,2025-08-04T09:00:00+05:30
WS-000002,/help,H4 Boys Hostel,water,28,0,2025-08-04T10:00:00+05:30
WS-000003,/explore,CL1,parking,47,0,2025-08-04T18:00:00+05:30
WS-000004,/report,LRC,wifi,63,1,2025-08-04T16:00:00+05:30
WS-000005,/campus-map,CL15,cleaning,20,1,2025-08-04T16:00:00+05:30
WS-000006,/status,Parking,lab,15,0,2025-08-04T17:00:00+05:30
WS-000007,/help,H4 Boys Hostel,parking,133,0,2025-08-04T20:00:00+05:30
WS-000008,/campus-map,A2/1,lab,19,0,2025-08-04T17:00:00+05:30
WS-000009,/campus-map,A2/1,cleaning,43,0,2025-08-04T20:00:00+05:30
WS-000010,/help,Aryabhatt Bhawan II,cleaning,92,0,2025-08-04T18:00:00+05:30
WS-000011,/status,A2/1,projector,32,1,2025-08-04T21:00:00+05:30
WS-000012,/explore,H5 Boys Hostel,lab,49,0,2025-08-05T02:00:00+05:30
WS-000013,/explore,A2/1,cleaning,33,1,2025-08-04T23:00:00+05:30
WS-000014,/help,LRC,water,70,0,2025-08-04T22:00:00+05:30
WS-000015,/report,H5 Boys Hostel,cleaning,23,0,2025-08-05T04:00:00+05:30
WS-000016,/help,Main Gate,projector,67,0,2025-08-05T03:00:00+05:30
WS-000017,/status,A2/1,projector,55,0,2025-08-05T04:00:00+05:30
WS-000018,/report,H4 Boys Hostel,cleaning,37,0,2025-08-05T04:00:00+05:30
WS-000019,/report,A2/1,water,52,1,2025-08-05T08:00:00+05:30
WS-000020,/explore,A2/2,parking,37,0,2025-08-05T11:00:00+05:30
WS-000021,/help,A2/1,wifi,31,0,2025-08-05T12:00:00+05:30
WS-000022,/report,Aryabhatt Bhawan II,cleaning,25,0,2025-08-05T07:00:00+05:30
WS-000023,/help,H5 Boys Hostel,wifi,46,1,2025-08-05T09:00:00+05:30
WS-000024,/explore,Parking,cleaning,55,0,2025-08-05T12:00:00+05:30
WS-000025,/campus-map,A2/2,projector,54,0,2025-08-05T14:00:00+05:30
WS-000026,/explore,Girls Hostel,lab,85,0,2025-08-05T14:00:00+05:30
WS-000027,/explore,Water Points,projector,61,0,2025-08-05T16:00:00+05:30
WS-000028,/status,Sports Complex,queue,36,0,2025-08-05T17:00:00+05:30
WS-000029,/report,Aryabhatt Bhawan II,lab,105,0,2025-08-05T17:00:00+05:30
WS-000030,/report,CL1,parking,71,1,2025-08-05T21:00:00+05:30
WS-000031,/status,A2/1,queue,57,0,2025-08-05T17:00:00+05:30
WS-000032,/campus-map,Aryabhatt Bhawan III,parking,49,0,2025-08-05T22:00:00+05:30
