@RELATION campuslens_complaints

@ATTRIBUTE complaint STRING
@ATTRIBUTE zone STRING
@ATTRIBUTE facility STRING
@ATTRIBUTE hour NUMERIC
@ATTRIBUTE occupancy NUMERIC
@ATTRIBUTE humidity NUMERIC
@ATTRIBUTE impact NUMERIC
@ATTRIBUTE category {Network,Infrastructure,Cleanliness,Canteen,Electrical,Lab_Equipment,Water,Other}

@DATA
'washroom near cl3 has not been cleaned today','Academic & Teaching','H4 Boys Hostel',10,53,73,1,Cleanliness
'spill outside cr425 creates a safety hazard please fix urgently','General & Utilities','Aryabhatt Bhawan III',12,47,58,4,Cleanliness
'monitor and keyboard are not detected at workstation in cl3 and the room is overcrowded','Labs & Research','CL15',12,8,44,1,Lab_Equipment
'wifi becomes extremely slow near cl3 between 14 00 and 16 00','Labs & Research','CL15',14,100,31,3,Network
'garbage is overflowing in the corridor on floor 4 while the wifi is also unstable','Academic & Teaching','Aryabhatt Bhawan III',13,59,73,3,Cleanliness
'projector in cs1 switches off after ten minutes','Academic & Teaching','A2/2',10,50,69,5,Infrastructure
'wifi becomes extremely slow near cl15 between 11 00 and 13 00 students cannot continue class','Labs & Research','CL3',11,66,26,3,Network
'monitor and keyboard are not detected at workstation in g2 students cannot continue class','Labs & Research','CL1',16,73,70,3,Lab_Equipment
'waiting time at annapurna / main mess is more than twenty minutes','Food','Cafeteria / Canteen',13,90,48,2,Canteen
'network authentication fails for students around cl3 this happens repeatedly','Academic & Teaching','CL3',12,62,40,2,Network
'student common area is overcrowded after 12 00','General & Utilities','Main Gate',12,84,35,5,Other
'classroom door and several chairs need repair on floor 2 beside the canteen queue','Academic & Teaching','A2/2',12,96,73,1,Infrastructure
'power socket near the desk is unsafe in cr425 after a power interruption','Labs & Research','CL22',17,74,42,4,Electrical
'classroom door and several chairs need repair on floor 2','Labs & Research','Aryabhatt Bhawan II',8,38,57,2,Infrastructure
'power socket near the desk is unsafe in ts17','Academic & Teaching','H5 Boys Hostel',8,57,84,2,Network
'network authentication fails for students around cl15 students cannot continue class','Academic & Teaching','CL15',10,73,47,1,Network
'classroom door and several chairs need repair on floor 3','Labs & Research','CL3',18,51,41,3,Infrastructure
'wifi becomes extremely slow near cl3 between 10 00 and 12 00 beside the canteen queue','Academic & Teaching','Aryabhatt Bhawan II',10,60,48,3,Network
'canteen queue is very long at 13 00 with one counter open','Food','Annapurna / Main Mess',13,49,37,5,Canteen
'projector hdmi port is loose in ts17','Academic & Teaching','Aryabhatt Bhawan II',8,42,48,3,Infrastructure
'canteen queue is very long at 13 00 with one counter open','Food','Cafeteria / Canteen',13,95,70,5,Canteen
'classroom door and several chairs need repair on floor 4','Labs & Research','Aryabhatt Bhawan II',14,51,62,4,Infrastructure
'very weak wifi signal on floor 3 of cl15','Library & Study','CL15',11,90,27,4,Network
'food counter is overcrowded between 13 00 and 15 00 students cannot continue class','Food','Cafeteria / Canteen',13,93,70,2,Canteen
'spill outside ts17 creates a safety hazard','Hostels','Washrooms',12,46,37,3,Cleanliness
'billing queue reaches the stairwell near annapurna / main mess','Food','Annapurna / Main Mess',14,85,56,2,Electrical
'food counter is overcrowded between 12 00 and 14 00','Food','Cafeteria / Canteen',12,55,47,3,Canteen
'laboratory equipment reports a calibration error in cl3 beside the canteen queue','Labs & Research','ECE Labs',8,27,69,5,Lab_Equipment
'wifi becomes extremely slow near cl15 between 14 00 and 16 00','Labs & Research','LRC',14,88,86,2,Network
'student common area is overcrowded after 10 00','General & Utilities','Administration Block',10,43,84,2,Other
'internet disconnects repeatedly during the lecture in ff6','Library & Study','CL15',14,100,58,3,Network
'canteen queue is very long at 13 00 with one counter open please fix urgently','Food','Annapurna / Main Mess',13,64,42,2,Canteen
'very weak wifi signal on floor 2 of cl3','Academic & Teaching','CL3',14,63,66,2,Network
'broken writing desk is blocking the aisle in cl22','Academic & Teaching','A2/2',14,61,46,2,Infrastructure
'air conditioner stops cooling after noon on ground floor','Hostels','CL22',15,63,76,1,Electrical
'two ceiling fans are not working in ts17 after a power interruption','Labs & Research','CL22',17,55,23,5,Electrical
'food counter is overcrowded between 13 00 and 15 00','Food','Cafeteria / Canteen',13,57,33,4,Canteen
'drinking water cooler near cs1 is empty','Sports & Recreation','Girls Hostel',12,32,48,4,Water
'garbage is overflowing in the corridor on floor 3','General & Utilities','Aryabhatt Bhawan III',17,59,32,3,Cleanliness
'food counter is overcrowded between 12 00 and 14 00','Food','Annapurna / Main Mess',12,85,42,5,Canteen
'waiting time at cafeteria / canteen is more than twenty minutes this happens repeatedly','Food','Cafeteria / Canteen',13,72,42,3,Canteen
'internet disconnects repeatedly during the lecture in cl15','Labs & Research','LRC',12,94,32,3,Network
'network authentication fails for students around cl3','Labs & Research','CL3',11,67,54,1,Network
