complaint_id,event_id,student_key,complaint_text,category,template_group,evaluation_fold,campus,zone,facility,facility_type,floor,room,latitude,longitude,day_name,hour,observed_at,impact_rating,severity,occupancy_pct,humidity_pct,recurring,status,resolution_hours,has_image,is_seeded_anomaly,source_system,complaint_clean,full_date,time_band,occupancy_band,humidity_band,impact_normalized,occupancy_standardized,humidity_standardized,service_sessions,report_conversions,mean_dwell_seconds
CL-11949,EV-202601-0389,ANON-0247,"for the second time this week the wired connection cannot reach institute services in CL1-B; and it interrupts scheduled teaching, and it interrupts scheduled teaching at 8:52 case 1949",Network,Network:7,2,JIIT Sector 62,Labs & Research,CL1,lab,Ground Floor,CL1-B,28.62958,77.37248,Tuesday,8,2026-01-13T03:22:00+00:00,1,Critical,35,60,0,Resolved,4.99,0,0,kiosk,for the second time this week the wired connection cannot reach institute services in cl1-b and it interrupts scheduled teaching and it interrupts scheduled teaching at 8:52 case 1949,2026-01-13,8-10,Low,Medium,0.0,-1.44291,0.28028,1.0,0.0,30.0
CL-10895,EV-202510-0179,ANON-0090,"a repeated observation is that the display cable and wall port need repair in CL22-A; and the issue lasts more than ten minutes, and several students are affected at 12:24 case 895",Infrastructure,Infrastructure:3,3,JIIT Sector 62,Labs & Research,CL22,lab,Floor 2,CL22-A,28.62986,77.37266,Friday,12,2025-10-17T06:54:00+00:00,5,Low,88,64,1,Resolved,4.41,0,0,web,a repeated observation is that the display cable and wall port need repair in cl22-a and the issue lasts more than ten minutes and several students are affected at 12:24 case 895,2025-10-17,10-12,High,Medium,1.0,1.27417,0.56135,2.0,0.0,49.0
CL-11947,EV-202601-0389,ANON-0239,"an urgent maintenance check is needed because a switchboard becomes warm during operation in ECE-201; the electrical supply needs inspection, near the main entrance to the space at 10:52 case 1947",Electrical,Electrical:8,3,JIIT Sector 62,Labs & Research,ECE Labs,lab,Floor 2,ECE-201,28.62974,77.37282,Tuesday,10,2026-01-13T05:22:00+00:00,5,Low,62,34,0,Resolved,4.44,0,0,web,an urgent maintenance check is needed because a switchboard becomes warm during operation in ece-201 the electrical supply needs inspection near the main entrance to the space at 10:52 case 1947,2026-01-13,8-10,Medium,Low,1.0,-0.05874,-1.54668,1.0,0.0,92.0
CL-12165,EV-202601-0433,ANON-0366,"during the latest session water pressure is too low for normal use in H4 Corridor 2; during a regular teaching period, during a regular teaching period at 16:33 case 2165",Water,Water:2,2,JIIT Sector 62,Hostels,H4 Boys Hostel,hostel,Floor 2,H4 Corridor 2,28.63062,77.37262,Saturday,16,2026-01-31T11:03:00+00:00,1,Critical,70,48,1,Resolved,4.48,1,0,mobile,during the latest session water pressure is too low for normal use in h4 corridor 2 during a regular teaching period during a regular teaching period at 16:33 case 2165,2026-01-31,2-4,Medium,Low,0.0,0.35139,-0.56293,0.0,0.0,0.0
CL-10452,EV-202509-0090,ANON-0699,"an urgent maintenance check is needed because signage for the room is missing in Visitor Parking; the physical infrastructure needs attention, and the condition has become more frequent at 15:31 case 452",Infrastructure,Infrastructure:8,3,JIIT Sector 62,General & Utilities,Parking,outdoor,Outdoor,Visitor Parking,28.62945,77.37222,Thursday,15,2025-09-11T10:01:00+00:00,3,Medium,40,54,1,In Progress,6.79,0,0,web,an urgent maintenance check is needed because signage for the room is missing in visitor parking the physical infrastructure needs attention and the condition has become more frequent at 15:31 case 452,2025-09-11,2-4,Low,Medium,0.5,-1.18658,-0.14133,2.0,1.0,34.0
CL-10244,EV-202508-0048,ANON-0111,"for the second time this week order processing has stopped at one counter in GH Common Room; and several students are affected, and it interrupts scheduled teaching at 14:04 case 244",Canteen,Canteen:7,2,JIIT Sector 62,Hostels,Girls Hostel,hostel,Ground Floor,GH Common Room,28.63087,77.37294,Sunday,14,2025-08-24T08:34:00+00:00,1,Critical,60,39,0,Verified,5.54,1,0,mobile,for the second time this week order processing has stopped at one counter in gh common room and several students are affected and it interrupts scheduled teaching at 14:04 case 244,2025-08-24,12-2,Medium,Low,0.0,-0.16127,-1.19534,1.0,1.0,10.0
CL-11946,EV-202601-0389,ANON-0263,"during the latest session students are waiting too long for food service in Food Court; and it interrupts scheduled teaching, during a regular teaching period at 10:48 case 1946",Canteen,Canteen:2,2,JIIT Sector 62,Food,Cafeteria / Canteen,food,Ground Floor,Food Court,28.63031,77.37298,Tuesday,10,2026-01-13T05:18:00+00:00,3,Medium,85,63,0,Open,3.38,0,0,mobile,during the latest session students are waiting too long for food service in food court and it interrupts scheduled teaching during a regular teaching period at 10:48 case 1946,2026-01-13,8-10,High,Medium,0.5,1.12037,0.49108,0.0,0.0,0.0
CL-12492,EV-202602-0498,ANON-0500,"the current problem is that a chair is blocking the aisle because its leg is broken in G2; the physical infrastructure needs attention, and several students are affected at 10:08 case 2492",Infrastructure,Infrastructure:4,4,JIIT Sector 62,Academic & Teaching,Aryabhatt Bhawan III,academic,Floor 2,G2,28.6299,77.37315,Saturday,10,2026-02-28T04:38:00+00:00,5,Low,51,52,0,Verified,2.71,0,0,mobile,the current problem is that a chair is blocking the aisle because its leg is broken in g2 the physical infrastructure needs attention and several students are affected at 10:08 case 2492,2026-02-28,8-10,Medium,Medium,1.0,-0.62266,-0.28186,4.0,1.0,55.5
CL-12577,EV-202603-0515,ANON-0677,"a repeated observation is that the wash area needs urgent sanitation in TS12; while another campus service remains normal, without any warning notice at 18:19 case 2577",Canteen,Cleanliness:3,3,JIIT Sector 62,Academic & Teaching,A2/1,academic,Floor 1,TS12,28.6301,77.37255,Saturday,18,2026-03-07T12:49:00+00:00,1,Critical,63,36,0,Resolved,8.68,0,0,mobile,a repeated observation is that the wash area needs urgent sanitation in ts12 while another campus service remains normal without any warning notice at 18:19 case 2577,2026-03-07,4-7,Medium,Low,0.0,-0.00747,-1.40615,1.0,1.0,78.0
CL-10558,EV-202509-0111,ANON-0695,"during the latest session students are waiting too long for food service in Visitor Parking; and the condition has become more frequent, and the issue lasts more than ten minutes at 10:09 case 558",Canteen,Canteen:2,2,JIIT Sector 62,General & Utilities,Parking,outdoor,Outdoor,Visitor Parking,28.62945,77.37222,Friday,10,2025-09-19T04:39:00+00:00,2,High,47,33,0,In Progress,7.2,0,0,mobile,during the latest session students are waiting too long for food service in visitor parking and the condition has become more frequent and the issue lasts more than ten minutes at 10:09 case 558,2025-09-19,8-10,Medium,Low,0.25,-0.82772,-1.61695,1.0,0.0,22.0
CL-10689,EV-202509-0137,ANON-0249,"the class representative confirmed that backup power did not activate during an interruption in CL15-A; the electrical supply needs inspection, and the issue lasts more than ten minutes at 15:16 case 689",Electrical,Electrical:9,4,JIIT Sector 62,Labs & Research,CL15,lab,Floor 1,CL15-A,28.62978,77.37254,Tuesday,15,2025-09-30T09:46:00+00:00,1,Critical,46,47,0,Resolved,6.49,0,0,mobile,the class representative confirmed that backup power did not activate during an interruption in cl15-a the electrical supply needs inspection and the issue lasts more than ten minutes at 15:16 case 689,2025-09-30,2-4,Medium,Low,0.0,-0.87899,-0.6332,0.0,0.0,0.0
CL-11683,EV-202512-0336,ANON-0477,"for the second time this week the lecture-room screen does not lower correctly in TS12; and several students are affected, although nearby rooms remain usable at 13:15 case 1683",Infrastructure,Infrastructure:7,2,JIIT Sector 62,Academic & Teaching,A2/1,academic,Floor 1,TS12,28.6301,77.37255,Monday,13,2025-12-22T07:45:00+00:00,4,Low,53,47,1,Resolved,7.41,0,0,mobile,for the second time this week the lecture-room screen does not lower correctly in ts12 and several students are affected although nearby rooms remain usable at 13:15 case 1683,2025-12-22,12-2,Medium,Low,0.75,-0.52013,-0.6332,1.0,0.0,43.0
CL-11761,EV-202512-0352,ANON-0492,"the class representative confirmed that backup power did not activate during an interruption in G2; and several students are affected, after normal troubleshooting was attempted at 13:13 case 1761",Electrical,Electrical:9,4,JIIT Sector 62,Academic & Teaching,Aryabhatt Bhawan III,academic,Floor 2,G2,28.6299,77.37315,Monday,13,2025-12-29T07:43:00+00:00,4,Low,74,52,0,Open,3.24,0,0,web,the class representative confirmed that backup power did not activate during an interruption in g2 and several students are affected after normal troubleshooting was attempted at 13:13 case 1761,2025-12-29,12-2,High,Medium,0.75,0.55645,-0.28186,3.0,2.0,13.666666666666666
