complaint_id,event_id,student_key,complaint_text,category,template_group,evaluation_fold,campus,zone,facility,facility_type,floor,room,latitude,longitude,day_name,hour,observed_at,impact_rating,severity,occupancy_pct,humidity_pct,recurring,status,resolution_hours,has_image,is_seeded_anomaly,source_system
CL-10000,EV-202508-0000,ANON-0757,"please investigate because the service queue is moving very slowly in H4 Corridor 1; the food service operation is affected, and the issue lasts more than ten minutes at 14:42 case 0",Canteen,Canteen:0,0,JIIT Sector 62,Hostels,H4 Boys Hostel,hostel,Floor 1,H4 Corridor 1,28.63062,77.37262,Monday,14,2025-08-04T14:42:00+05:30,2,High,70.0,72,1,Open,6.95,1,0,mobile
CL-10001,EV-202508-0000,ANON-0391,"staff were informed that an electrical panel is making an unusual sound in H5 Corridor 2; and it interrupts scheduled teaching, and several students are affected at 16:51 case 1",Electrical,Electrical:5,0,JIIT Sector 62,Hostels,H5 Boys Hostel,hostel,Floor 2,H5 Corridor 2,28.63075,77.37278,Monday,16,2025-08-04T16:51:00+05:30,4,Low,48.0,73,0,Open,3.73,1,0,mobile
CL-10002,EV-202508-0000,ANON-0625,"a repeated observation is that the display cable and wall port need repair in G5; and staff assistance has been requested, and it interrupts scheduled teaching at 16:56 case 2",Infrastructure,Infrastructure:3,3,JIIT Sector 62,Academic & Teaching,A2/2,academic,Ground Floor,G5,28.63024,77.37275,Monday,16,2025-08-04T16:56:00+05:30,2,High,56.0,69,0,Open,5.4,0,0,mobile
CL-10003,EV-202508-0000,ANON-0779,"today we noticed that network coverage disappears near the back rows in CR425; the network service is affected, near the main entrance to the space at 10:44 case 3",Network,Network:6,1,JIIT Sector 62,Academic & Teaching,Aryabhatt Bhawan II,academic,Floor 4,CR425,28.6297,77.3729,Monday,10,2025-08-04T10:44:00+05:30,1,Critical,53.0,44,1,Resolved,8.7,0,0,mobile
CL-10004,EV-202508-0000,ANON-0291,"today we noticed that charging points are unavailable in Reception; and the condition has become more frequent, although nearby rooms remain usable at 11:42 case 4",Electrical,Electrical:6,1,JIIT Sector 62,General & Utilities,Administration Block,office,Ground Floor,Reception,28.62992,77.37334,Monday,11,2025-08-04T11:42:00+05:30,3,Medium,90.0,33,1,Resolved,6.32,0,0,web
CL-10005,EV-202508-0001,ANON-0084,"an urgent maintenance check is needed because signage for the room is missing in TS11; the physical infrastructure needs attention, and several students are affected at 8:15 case 5",Infrastructure,Infrastructure:8,3,JIIT Sector 62,Academic & Teaching,A2/1,academic,Floor 1,TS11,28.6301,77.37255,Monday,8,2025-08-04T08:15:00+05:30,2,High,79.0,52,0,Verified,4.93,1,0,mobile
CL-10006,EV-202508-0001,ANON-0258,"staff were informed that an unattended item is obstructing the walkway in CS1; while the area is moderately occupied, and several students are affected at 10:42 case 6",Other,Other:5,0,JIIT Sector 62,Academic & Teaching,Aryabhatt Bhawan III,academic,Floor 1,CS1,28.6299,77.37315,Monday,10,2025-08-04T10:42:00+05:30,1,Critical,43.0,50,0,Resolved,4.48,0,0,web
CL-10007,EV-202508-0001,ANON-0059,"a repeated observation is that a power socket is loose and unsafe in CS2; the electrical supply needs inspection, and the condition has become more frequent at 15:03 case 7",Electrical,Electrical:3,3,JIIT Sector 62,Academic & Teaching,Aryabhatt Bhawan III,academic,Floor 1,CS2,28.6299,77.37315,Monday,15,2025-08-04T15:03:00+05:30,5,Low,54.0,68,0,Open,5.06,0,0,kiosk
CL-10008,EV-202508-0001,ANON-0057,"students report that water is leaking into the walking area in Cooler B; and several students are affected, after normal troubleshooting was attempted at 11:59 case 8",Water,Water:1,1,JIIT Sector 62,General & Utilities,Water Points,utility,Ground Floor,Cooler B,28.63005,77.37238,Tuesday,11,2025-08-05T11:59:00+05:30,3,Medium,83.0,32,1,Verified,8.34,0,0,web
CL-10009,EV-202508-0001,ANON-0721,"an urgent maintenance check is needed because a switchboard becomes warm during operation in H5 Common Room; while another campus service remains normal, although nearby rooms remain usable at 8:40 case 9",Electrical,Electrical:8,3,JIIT Sector 62,Hostels,H5 Boys Hostel,hostel,Ground Floor,H5 Common Room,28.63075,77.37278,Tuesday,8,2025-08-05T08:40:00+05:30,3,Medium,67.0,41,1,Verified,7.22,1,0,mobile
CL-10010,EV-202508-0002,ANON-0198,"students report that water is leaking into the walking area in G2; the water service needs attention, and the condition has become more frequent at 9:07 case 10",Water,Water:1,1,JIIT Sector 62,Academic & Teaching,Aryabhatt Bhawan III,academic,Floor 2,G2,28.6299,77.37315,Tuesday,9,2025-08-05T09:07:00+05:30,3,Medium,52.0,35,1,Resolved,7.07,0,0,mobile
CL-10011,EV-202508-0002,ANON-0201,"a repeated observation is that the nearest water point is not operational in Washroom G; the water service needs attention, without any warning notice at 11:49 case 11",Water,Water:3,3,JIIT Sector 62,General & Utilities,Washrooms,utility,Ground Floor,Washroom G,28.62982,77.37326,Tuesday,11,2025-08-05T11:49:00+05:30,5,Low,60.0,82,0,Escalated,5.57,0,0,mobile
CL-10012,EV-202508-0002,ANON-0229,"the current problem is that the security queue is delaying entry in CL15-A; campus operations are being disrupted, and several students are affected at 18:09 case 12",Cleanliness,Other:4,4,JIIT Sector 62,Labs & Research,CL15,lab,Floor 1,CL15-A,28.62978,77.37254,Tuesday,18,2025-08-05T18:09:00+05:30,1,Critical,46.0,62,0,Resolved,7.3,0,0,mobile
CL-10013,EV-202508-0002,ANON-0389,"students report that several desks have loose or damaged fittings in Visitor Parking; although nearby rooms remain usable, while another campus service remains normal at 17:17 case 13",Infrastructure,Infrastructure:1,1,JIIT Sector 62,General & Utilities,Parking,outdoor,Outdoor,Visitor Parking,28.62945,77.37222,Tuesday,17,2025-08-05T17:17:00+05:30,5,Low,55.0,63,0,Verified,3.49,0,0,mobile
CL-10014,EV-202508-0002,ANON-0246,"staff were informed that a tap continues running after it is closed in Washroom G; the water service needs attention, without any warning notice at 13:35 case 14",Water,Water:5,0,JIIT Sector 62,General & Utilities,Washrooms,utility,Ground Floor,Washroom G,28.62982,77.37326,Tuesday,13,2025-08-05T13:35:00+05:30,2,High,49.0,58,1,Escalated,3.96,0,0,web
CL-10015,EV-202508-0003,ANON-0586,"a repeated observation is that laboratory equipment reports a calibration error in H4 Corridor 1; and staff assistance has been requested, and the condition has become more frequent at 18:36 case 15",Lab Equipment,Lab Equipment:3,3,JIIT Sector 62,Hostels,H4 Boys Hostel,hostel,Floor 1,H4 Corridor 1,28.63062,77.37262,Tuesday,18,2025-08-05T18:36:00+05:30,1,Critical,54.0,46,0,In Progress,7.0,0,0,mobile
CL-10016,EV-202508-0003,ANON-0079,"the class representative confirmed that backup power did not activate during an interruption in Gate 1; the electrical supply needs inspection, and the issue lasts more than ten minutes at 18:52 case 16",Electrical,Electrical:9,4,JIIT Sector 62,General & Utilities,Main Gate,outdoor,Outdoor,Gate 1,28.62938,77.37238,Tuesday,18,2025-08-05T18:52:00+05:30,3,Medium,60.0,50,0,Open,3.58,0,0,mobile
CL-10017,EV-202508-0003,ANON-0080,"for the second time this week the lecture-room screen does not lower correctly in CR202; without any warning notice, during a regular teaching period at 9:51 case 17",Infrastructure,Infrastructure:7,2,JIIT Sector 62,Academic & Teaching,Aryabhatt Bhawan II,academic,Floor 2,CR202,28.6297,77.3729,Tuesday,9,2025-08-05T09:51:00+05:30,1,Critical,48.0,59,0,In Progress,4.19,0,0,mobile
CL-10018,EV-202508-0003,ANON-0410,"A REPEATED OBSERVATION IS THAT THE WASH AREA NEEDS URGENT SANITATION IN G5; THIS IS A HYGIENE AND CLEANLINESS CONCERN, AND SEVERAL STUDENTS ARE AFFECTED AT 10:57 CASE 18   !!!",Network,Cleanliness:3,3,JIIT Sector 62,Academic & Teaching,A2/2,academic,Ground Floor,G5,28.63024,77.37275,Tuesday,10,2025-08-05T10:57:00+05:30,5,Low,92.0,49,0,Open,4.88,0,0,mobile
CL-10019,EV-202508-0003,ANON-0471,"please investigate because the drinking-water dispenser is empty in H4 Corridor 2; and staff assistance has been requested, and several students are affected at 10:21 case 19",Cleanliness,Water:0,0,JIIT Sector 62,Hostels,H4 Boys Hostel,hostel,Floor 2,H4 Corridor 2,28.63062,77.37262,Tuesday,10,2025-08-05T10:21:00+05:30,3,Medium,95.0,71,0,Resolved,7.0,0,0,mobile
CL-10020,EV-202508-0004,ANON-0258,"an urgent maintenance check is needed because standing water is creating an unhygienic patch in G6; while the area is moderately occupied, near the main entrance to the space at 8:38 case 20",Cleanliness,Cleanliness:8,3,JIIT Sector 62,Academic & Teaching,A2/2,academic,Ground Floor,G6,28.63024,77.37275,Wednesday,8,2025-08-06T08:38:00+05:30,3,Medium,81.0,78,0,In Progress,2.48,0,0,mobile
CL-10021,EV-202508-0004,ANON-0231,"the class representative confirmed that a window latch is broken and requires maintenance in H5 Corridor 1; without any warning notice, and the condition has become more frequent at 15:09 case 21",Infrastructure,Infrastructure:9,4,JIIT Sector 62,Hostels,H5 Boys Hostel,hostel,Floor 1,H5 Corridor 1,28.63075,77.37278,Wednesday,15,2025-08-06T15:09:00+05:30,2,High,59.0,57,0,Open,4.97,0,0,web
CL-10022,EV-202508-0004,ANON-0737,"the class representative confirmed that the supply is unavailable on this floor in Academic Office; and staff assistance has been requested, near the main entrance to the space at 15:48 case 22",Cleanliness,Water:9,4,JIIT Sector 62,General & Utilities,Administration Block,office,Floor 1,Academic Office,28.62992,77.37334,Wednesday,15,2025-08-06T15:48:00+05:30,2,High,43.0,71,0,Resolved,6.2,0,0,web
CL-10023,EV-202508-0004,ANON-0440,"TODAY WE NOTICED THAT CHARGING POINTS ARE UNAVAILABLE IN WASHROOM G; THE ELECTRICAL SUPPLY NEEDS INSPECTION, AFTER NORMAL TROUBLESHOOTING WAS ATTEMPTED AT 10:44 CASE 23   !!!",Electrical,Electrical:6,1,JIIT Sector 62,General & Utilities,Washrooms,utility,Ground Floor,Washroom G,28.62982,77.37326,Wednesday,10,2025-08-06T10:44:00+05:30,3,Medium,44.0,44,1,Resolved,6.7,0,0,web
CL-10024,EV-202508-0004,ANON-0224,"the current problem is that food waste has accumulated near the seating area in Academic Office; this is a hygiene and cleanliness concern, and the condition has become more frequent at 8:33 case 24",Cleanliness,Cleanliness:4,4,JIIT Sector 62,General & Utilities,Administration Block,office,Floor 1,Academic Office,28.62992,77.37334,Wednesday,8,2025-08-06T08:33:00+05:30,3,Medium,38.0,62,0,In Progress,5.55,1,0,mobile
CL-10025,EV-202508-0005,ANON-0185,"for the second time this week order processing has stopped at one counter in Visitor Parking; although nearby rooms remain usable, while another campus service remains normal at 16:53 case 25",Canteen,Canteen:7,2,JIIT Sector 62,General & Utilities,Parking,outdoor,Outdoor,Visitor Parking,28.62945,77.37222,Wednesday,16,2025-08-06T16:53:00+05:30,1,Critical,69.0,50,0,Open,7.09,0,0,mobile
CL-10026,EV-202508-0005,ANON-0666,"during the latest session a spill has made the floor slippery in H4 Common Room; after normal troubleshooting was attempted, while the area is moderately occupied at 9:35 case 26",Cleanliness,Cleanliness:2,2,JIIT Sector 62,Hostels,H4 Boys Hostel,hostel,Ground Floor,H4 Common Room,28.63062,77.37262,Wednesday,9,2025-08-06T09:35:00+05:30,3,Medium,62.0,59,1,Verified,6.27,0,0,mobile
CL-10027,EV-202508-0005,ANON-0451,"an urgent maintenance check is needed because the filtration unit shows a service warning in Main Hall; the water service needs attention, after normal troubleshooting was attempted at 16:49 case 27",Water,Water:8,3,JIIT Sector 62,General & Utilities,Auditorium,common,Ground Floor,Main Hall,28.63016,77.3733,Wednesday,16,2025-08-06T16:49:00+05:30,3,Medium,46.0,68,0,Resolved,5.46,1,0,mobile
CL-10028,EV-202508-0005,ANON-0661,"during the latest session the common area is overcrowded in CL1-A; near the main entrance to the space, and the issue lasts more than ten minutes at 15:12 case 28",Other,Other:2,2,JIIT Sector 62,Labs & Research,CL1,lab,Ground Floor,CL1-A,28.62958,77.37248,Wednesday,15,2025-08-06T15:12:00+05:30,2,High,59.0,27,0,Resolved,3.46,1,0,mobile
CL-10029,EV-202508-0005,ANON-0734,"staff were informed that the experiment console does not record readings in TS12; and staff assistance has been requested, near the main entrance to the space at 8:34 case 29",Lab Equipment,Lab Equipment:5,0,JIIT Sector 62,Academic & Teaching,A2/1,academic,Floor 1,TS12,28.6301,77.37255,Wednesday,8,2025-08-06T08:34:00+05:30,3,Medium,77.0,63,1,Resolved,5.02,0,0,web
CL-10030,EV-202508-0006,ANON-0707,"an urgent maintenance check is needed because pedestrian movement is restricted by stored material in CR101; and the condition has become more frequent, during a regular teaching period at 8:20 case 30",Other,Other:8,3,JIIT Sector 62,Academic & Teaching,Aryabhatt Bhawan II,academic,Floor 1,CR101,28.6297,77.3729,Wednesday,8,2025-08-06T08:20:00+05:30,2,High,63.0,41,1,In Progress,4.23,0,0,mobile
CL-10031,EV-202508-0006,ANON-0643,"the current problem is that a chair is blocking the aisle because its leg is broken in CS1; and staff assistance has been requested, while the area is moderately occupied at 18:02 case 31",Infrastructure,Infrastructure:4,4,JIIT Sector 62,Academic & Teaching,Aryabhatt Bhawan III,academic,Floor 1,CS1,28.6299,77.37315,Wednesday,18,2025-08-06T18:02:00+05:30,2,High,99.0,52,1,Escalated,6.05,0,0,mobile
CL-10032,EV-202508-0006,ANON-0169,"an urgent maintenance check is needed because the lab printer is unavailable to student systems in Washroom G; while another campus service remains normal, and the issue lasts more than ten minutes at 11:57 case 32",Lab Equipment,Lab Equipment:8,3,JIIT Sector 62,General & Utilities,Washrooms,utility,Ground Floor,Washroom G,28.62982,77.37326,Thursday,11,2025-08-07T11:57:00+05:30,5,Low,39.0,42,0,In Progress,3.02,0,0,kiosk
CL-10033,EV-202508-0006,ANON-0712,"staff were informed that the writing surface is damaged and difficult to use in CR101; the physical infrastructure needs attention, without any warning notice at 17:44 case 33",Infrastructure,Infrastructure:5,0,JIIT Sector 62,Academic & Teaching,Aryabhatt Bhawan II,academic,Floor 1,CR101,28.6297,77.3729,Thursday,17,2025-08-07T17:44:00+05:30,5,Low,93.0,45,0,Escalated,11.93,1,1,mobile
CL-10034,EV-202508-0006,ANON-0694,"during the latest session lights flicker repeatedly during use in TS17; after normal troubleshooting was attempted, and it interrupts scheduled teaching at 10:12 case 34",Electrical,Electrical:2,2,JIIT Sector 62,Academic & Teaching,A2/2,academic,Floor 1,TS17,28.63024,77.37275,Thursday,10,2025-08-07T10:12:00+05:30,4,Low,45.0,61,1,Resolved,6.56,0,0,mobile
CL-10035,EV-202508-0007,ANON-0775,"today we noticed that charging points are unavailable in H4 Corridor 1; and several students are affected, while the area is moderately occupied at 8:57 case 35",Electrical,Electrical:6,1,JIIT Sector 62,Hostels,H4 Boys Hostel,hostel,Floor 1,H4 Corridor 1,28.63062,77.37262,Thursday,8,2025-08-07T08:57:00+05:30,2,High,74.0,77,1,Verified,5.14,0,0,mobile
CL-10036,EV-202508-0007,ANON-0498,"an urgent maintenance check is needed because standing water is creating an unhygienic patch in Academic Office; this is a hygiene and cleanliness concern, while another campus service remains normal at 9:12 case 36",Cleanliness,Cleanliness:8,3,JIIT Sector 62,General & Utilities,Administration Block,office,Floor 1,Academic Office,28.62992,77.37334,Thursday,9,2025-08-07T09:12:00+05:30,1,Critical,86.0,56,0,Open,5.82,0,0,kiosk
CL-10037,EV-202508-0007,ANON-0737,"during the latest session students cannot authenticate to the wireless network in G3; the network service is affected, while another campus service remains normal at 15:26 case 37",Network,Network:2,2,JIIT Sector 62,Academic & Teaching,Aryabhatt Bhawan III,academic,Floor 2,G3,28.6299,77.37315,Thursday,15,2025-08-07T15:26:00+05:30,2,High,66.0,55,0,Open,5.64,0,0,mobile
CL-10038,EV-202508-0007,ANON-0393,"a repeated observation is that a power socket is loose and unsafe in CR201; and staff assistance has been requested, and several students are affected at 10:04 case 38",Electrical,Electrical:3,3,JIIT Sector 62,Academic & Teaching,Aryabhatt Bhawan II,academic,Floor 2,CR201,28.6297,77.3729,Thursday,10,2025-08-07T10:04:00+05:30,3,Medium,69.0,27,0,Resolved,4.89,0,0,mobile
CL-10039,EV-202508-0007,ANON-0330,"a repeated observation is that a campus service is unavailable without an explanation in CR102; campus operations are being disrupted, while the area is moderately occupied at 17:31 case 39",Other,Other:3,3,JIIT Sector 62,Academic & Teaching,Aryabhatt Bhawan II,academic,Floor 1,CR102,28.6297,77.3729,Thursday,17,2025-08-07T17:31:00+05:30,5,Low,84.0,42,0,In Progress,4.96,0,0,web
CL-10040,EV-202508-0008,ANON-0304,"for the second time this week the device driver is missing from the workstation in Visitor Parking; although nearby rooms remain usable, while the area is moderately occupied at 12:39 case 40",Lab Equipment,Lab Equipment:7,2,JIIT Sector 62,General & Utilities,Parking,outdoor,Outdoor,Visitor Parking,28.62945,77.37222,Thursday,12,2025-08-07T12:39:00+05:30,1,Critical,85.0,51,0,In Progress,3.84,0,0,mobile
