complaint_id,event_id,student_key,complaint_text,category,template_group,evaluation_fold,campus,zone,facility,facility_type,floor,room,latitude,longitude,day_name,hour,observed_at,impact_rating,severity,occupancy_pct,humidity_pct,recurring,status,resolution_hours,has_image,is_seeded_anomaly,source_system,complaint_clean,full_date,time_band,occupancy_band,humidity_band,impact_normalized,occupancy_standardized,humidity_standardized,service_sessions,report_conversions,mean_dwell_seconds
CL-10000,EV-202508-0000,ANON-0757,"please investigate because the service queue is moving very slowly in H4 Corridor 1; the food service operation is affected, and the issue lasts more than ten minutes at 14:42 case 0",Canteen,Canteen:0,0,JIIT Sector 62,Hostels,H4 Boys Hostel,hostel,Floor 1,H4 Corridor 1,28.63062,77.37262,Monday,14,2025-08-04T09:12:00+00:00,2,High,70,72,1,Open,6.95,1,0,mobile,please investigate because the service queue is moving very slowly in h4 corridor 1 the food service operation is affected and the issue lasts more than ten minutes at 14:42 case 0,2025-08-04,12-2,Medium,High,0.25,0.35139,1.12349,4.0,0.0,59.5
CL-10001,EV-202508-0000,ANON-0391,"staff were informed that an electrical panel is making an unusual sound in H5 Corridor 2; and it interrupts scheduled teaching, and several students are affected at 16:51 case 1",Electrical,Electrical:5,0,JIIT Sector 62,Hostels,H5 Boys Hostel,hostel,Floor 2,H5 Corridor 2,28.63075,77.37278,Monday,16,2025-08-04T11:21:00+00:00,4,Low,48,73,0,Open,3.73,1,0,mobile,staff were informed that an electrical panel is making an unusual sound in h5 corridor 2 and it interrupts scheduled teaching and several students are affected at 16:51 case 1,2025-08-04,2-4,Medium,High,0.75,-0.77646,1.19376,2.0,0.0,36.0
CL-10002,EV-202508-0000,ANON-0625,"a repeated observation is that the display cable and wall port need repair in G5; and staff assistance has been requested, and it interrupts scheduled teaching at 16:56 case 2",Infrastructure,Infrastructure:3,3,JIIT Sector 62,Academic & Teaching,A2/2,academic,Ground Floor,G5,28.63024,77.37275,Monday,16,2025-08-04T11:26:00+00:00,2,High,56,69,0,Open,5.4,0,0,mobile,a repeated observation is that the display cable and wall port need repair in g5 and staff assistance has been requested and it interrupts scheduled teaching at 16:56 case 2,2025-08-04,2-4,Medium,Medium,0.25,-0.36633,0.91269,0.0,0.0,0.0
CL-10003,EV-202508-0000,ANON-0779,"today we noticed that network coverage disappears near the back rows in CR425; the network service is affected, near the main entrance to the space at 10:44 case 3",Network,Network:6,1,JIIT Sector 62,Academic & Teaching,Aryabhatt Bhawan II,academic,Floor 4,CR425,28.6297,77.3729,Monday,10,2025-08-04T05:14:00+00:00,1,Critical,53,44,1,Resolved,8.7,0,0,mobile,today we noticed that network coverage disappears near the back rows in cr425 the network service is affected near the main entrance to the space at 10:44 case 3,2025-08-04,8-10,Medium,Low,0.0,-0.52013,-0.844,2.0,0.0,56.0
CL-10004,EV-202508-0000,ANON-0291,"today we noticed that charging points are unavailable in Reception; and the condition has become more frequent, although nearby rooms remain usable at 11:42 case 4",Electrical,Electrical:6,1,JIIT Sector 62,General & Utilities,Administration Block,office,Ground Floor,Reception,28.62992,77.37334,Monday,11,2025-08-04T06:12:00+00:00,3,Medium,90,33,1,Resolved,6.32,0,0,web,today we noticed that charging points are unavailable in reception and the condition has become more frequent although nearby rooms remain usable at 11:42 case 4,2025-08-04,10-12,High,Low,0.5,1.3767,-1.61695,0.0,0.0,0.0
CL-10005,EV-202508-0001,ANON-0084,"an urgent maintenance check is needed because signage for the room is missing in TS11; the physical infrastructure needs attention, and several students are affected at 8:15 case 5",Infrastructure,Infrastructure:8,3,JIIT Sector 62,Academic & Teaching,A2/1,academic,Floor 1,TS11,28.6301,77.37255,Monday,8,2025-08-04T02:45:00+00:00,2,High,79,52,0,Verified,4.93,1,0,mobile,an urgent maintenance check is needed because signage for the room is missing in ts11 the physical infrastructure needs attention and several students are affected at 8:15 case 5,2025-08-04,8-10,High,Medium,0.25,0.81278,-0.28186,5.0,2.0,36.4
CL-10006,EV-202508-0001,ANON-0258,"staff were informed that an unattended item is obstructing the walkway in CS1; while the area is moderately occupied, and several students are affected at 10:42 case 6",Other,Other:5,0,JIIT Sector 62,Academic & Teaching,Aryabhatt Bhawan III,academic,Floor 1,CS1,28.6299,77.37315,Monday,10,2025-08-04T05:12:00+00:00,1,Critical,43,50,0,Resolved,4.48,0,0,web,staff were informed that an unattended item is obstructing the walkway in cs1 while the area is moderately occupied and several students are affected at 10:42 case 6,2025-08-04,8-10,Medium,Low,0.0,-1.03279,-0.4224,0.0,0.0,0.0
CL-10007,EV-202508-0001,ANON-0059,"a repeated observation is that a power socket is loose and unsafe in CS2; the electrical supply needs inspection, and the condition has become more frequent at 15:03 case 7",Electrical,Electrical:3,3,JIIT Sector 62,Academic & Teaching,Aryabhatt Bhawan III,academic,Floor 1,CS2,28.6299,77.37315,Monday,15,2025-08-04T09:33:00+00:00,5,Low,54,68,0,Open,5.06,0,0,kiosk,a repeated observation is that a power socket is loose and unsafe in cs2 the electrical supply needs inspection and the condition has become more frequent at 15:03 case 7,2025-08-04,2-4,Medium,Medium,1.0,-0.46886,0.84242,0.0,0.0,0.0
CL-10008,EV-202508-0001,ANON-0057,"students report that water is leaking into the walking area in Cooler B; and several students are affected, after normal troubleshooting was attempted at 11:59 case 8",Water,Water:1,1,JIIT Sector 62,General & Utilities,Water Points,utility,Ground Floor,Cooler B,28.63005,77.37238,Tuesday,11,2025-08-05T06:29:00+00:00,3,Medium,83,32,1,Verified,8.34,0,0,web,students report that water is leaking into the walking area in cooler b and several students are affected after normal troubleshooting was attempted at 11:59 case 8,2025-08-05,10-12,High,Low,0.5,1.01784,-1.68722,1.0,0.0,61.0
CL-10009,EV-202508-0001,ANON-0721,"an urgent maintenance check is needed because a switchboard becomes warm during operation in H5 Common Room; while another campus service remains normal, although nearby rooms remain usable at 8:40 case 9",Electrical,Electrical:8,3,JIIT Sector 62,Hostels,H5 Boys Hostel,hostel,Ground Floor,H5 Common Room,28.63075,77.37278,Tuesday,8,2025-08-05T03:10:00+00:00,3,Medium,67,41,1,Verified,7.22,1,0,mobile,an urgent maintenance check is needed because a switchboard becomes warm during operation in h5 common room while another campus service remains normal although nearby rooms remain usable at 8:40 case 9,2025-08-05,8-10,Medium,Low,0.5,0.19759,-1.05481,2.0,2.0,48.0
