@RELATION campuslens_complaints_v2

@ATTRIBUTE complaint STRING
@ATTRIBUTE facility_type {academic,lab,library,food,hostel,office,common,outdoor,utility,sports}
@ATTRIBUTE hour NUMERIC
@ATTRIBUTE occupancy NUMERIC
@ATTRIBUTE humidity NUMERIC
@ATTRIBUTE impact NUMERIC
@ATTRIBUTE category {Network,Infrastructure,Cleanliness,Canteen,Electrical,Lab_Equipment,Water,Other}

@DATA
'please investigate because the service queue is moving very slowly in h4 corridor 1 the food service operation is affected and the issue lasts more than ten minutes at 14:42 case 0',hostel,14,70,72,2,Canteen
'staff were informed that an electrical panel is making an unusual sound in h5 corridor 2 and it interrupts scheduled teaching and several students are affected at 16:51 case 1',hostel,16,48,73,4,Electrical
'a repeated observation is that the display cable and wall port need repair in g5 and staff assistance has been requested and it interrupts scheduled teaching at 16:56 case 2',academic,16,56,69,2,Infrastructure
'today we noticed that network coverage disappears near the back rows in cr425 the network service is affected near the main entrance to the space at 10:44 case 3',academic,10,53,44,1,Network
'today we noticed that charging points are unavailable in reception and the condition has become more frequent although nearby rooms remain usable at 11:42 case 4',office,11,90,33,3,Electrical
'an urgent maintenance check is needed because signage for the room is missing in ts11 the physical infrastructure needs attention and several students are affected at 8:15 case 5',academic,8,79,52,2,Infrastructure
'staff were informed that an unattended item is obstructing the walkway in cs1 while the area is moderately occupied and several students are affected at 10:42 case 6',academic,10,43,50,1,Other
'a repeated observation is that a power socket is loose and unsafe in cs2 the electrical supply needs inspection and the condition has become more frequent at 15:03 case 7',academic,15,54,68,5,Electrical
'students report that water is leaking into the walking area in cooler b and several students are affected after normal troubleshooting was attempted at 11:59 case 8',utility,11,83,32,3,Water
'an urgent maintenance check is needed because a switchboard becomes warm during operation in h5 common room while another campus service remains normal although nearby rooms remain usable at 8:40 case 9',hostel,8,67,41,3,Electrical
'students report that water is leaking into the walking area in g2 the water service needs attention and the condition has become more frequent at 9:07 case 10',academic,9,52,35,3,Water
'a repeated observation is that the nearest water point is not operational in washroom g the water service needs attention without any warning notice at 11:49 case 11',utility,11,60,82,5,Water
'students report that several desks have loose or damaged fittings in visitor parking although nearby rooms remain usable while another campus service remains normal at 17:17 case 13',outdoor,17,55,63,5,Infrastructure
'staff were informed that a tap continues running after it is closed in washroom g the water service needs attention without any warning notice at 13:35 case 14',utility,13,49,58,2,Water
'a repeated observation is that laboratory equipment reports a calibration error in h4 corridor 1 and staff assistance has been requested and the condition has become more frequent at 18:36 case 15',hostel,18,54,46,1,Lab_Equipment
'for the second time this week the lecture-room screen does not lower correctly in cr202 without any warning notice during a regular teaching period at 9:51 case 17',academic,9,48,59,1,Infrastructure
'a repeated observation is that the wash area needs urgent sanitation in g5 this is a hygiene and cleanliness concern and several students are affected at 10:57 case 18',academic,10,92,49,5,Network
'please investigate because the drinking-water dispenser is empty in h4 corridor 2 and staff assistance has been requested and several students are affected at 10:21 case 19',hostel,10,95,71,3,Cleanliness
'an urgent maintenance check is needed because standing water is creating an unhygienic patch in g6 while the area is moderately occupied near the main entrance to the space at 8:38 case 20',academic,8,81,78,3,Cleanliness
'today we noticed that charging points are unavailable in washroom g the electrical supply needs inspection after normal troubleshooting was attempted at 10:44 case 23',utility,10,44,44,3,Electrical
'for the second time this week order processing has stopped at one counter in visitor parking although nearby rooms remain usable while another campus service remains normal at 16:53 case 25',outdoor,16,69,50,1,Canteen
'during the latest session a spill has made the floor slippery in h4 common room after normal troubleshooting was attempted while the area is moderately occupied at 9:35 case 26',hostel,9,62,59,3,Cleanliness
'an urgent maintenance check is needed because the filtration unit shows a service warning in main hall the water service needs attention after normal troubleshooting was attempted at 16:49 case 27',common,16,46,68,3,Water
'during the latest session the common area is overcrowded in cl1-a near the main entrance to the space and the issue lasts more than ten minutes at 15:12 case 28',lab,15,59,27,2,Other
'staff were informed that the experiment console does not record readings in ts12 and staff assistance has been requested near the main entrance to the space at 8:34 case 29',academic,8,77,63,3,Lab_Equipment
'an urgent maintenance check is needed because pedestrian movement is restricted by stored material in cr101 and the condition has become more frequent during a regular teaching period at 8:20 case 30',academic,8,63,41,2,Other
'an urgent maintenance check is needed because the lab printer is unavailable to student systems in washroom g while another campus service remains normal and the issue lasts more than ten minutes at 11:57 case 32',utility,11,39,42,5,Lab_Equipment
'staff were informed that the writing surface is damaged and difficult to use in cr101 the physical infrastructure needs attention without any warning notice at 17:44 case 33',academic,17,93,45,5,Infrastructure
'during the latest session lights flicker repeatedly during use in ts17 after normal troubleshooting was attempted and it interrupts scheduled teaching at 10:12 case 34',academic,10,45,61,4,Electrical
'today we noticed that charging points are unavailable in h4 corridor 1 and several students are affected while the area is moderately occupied at 8:57 case 35',hostel,8,74,77,2,Electrical
'an urgent maintenance check is needed because standing water is creating an unhygienic patch in academic office this is a hygiene and cleanliness concern while another campus service remains normal at 9:12 case 36',office,9,86,56,1,Cleanliness
'during the latest session students cannot authenticate to the wireless network in g3 the network service is affected while another campus service remains normal at 15:26 case 37',academic,15,66,55,2,Network
'a repeated observation is that a power socket is loose and unsafe in cr201 and staff assistance has been requested and several students are affected at 10:04 case 38',academic,10,69,27,3,Electrical
'a repeated observation is that a campus service is unavailable without an explanation in cr102 campus operations are being disrupted while the area is moderately occupied at 17:31 case 39',academic,17,84,42,5,Other
'for the second time this week the device driver is missing from the workstation in visitor parking although nearby rooms remain usable while the area is moderately occupied at 12:39 case 40',outdoor,12,85,51,1,Lab_Equipment
'please investigate because several systems freeze during compilation in reception laboratory equipment availability is affected during a regular teaching period at 17:30 case 43',office,17,47,51,1,Lab_Equipment
'during the latest session a spill has made the floor slippery in food court this is a hygiene and cleanliness concern near the main entrance to the space at 14:55 case 45',food,14,46,33,2,Cleanliness
'a repeated observation is that the display cable and wall port need repair in cr425 and several students are affected and the issue lasts more than ten minutes at 18:39 case 46',academic,18,83,35,3,Infrastructure
'during the latest session the workstation cannot boot for the practical in cr425 laboratory equipment availability is affected and staff assistance has been requested at 9:53 case 49',academic,9,53,67,2,Lab_Equipment
'a repeated observation is that the display cable and wall port need repair in cl1-a while the area is moderately occupied during a regular teaching period at 15:28 case 50',lab,15,57,43,4,Infrastructure
'staff were informed that the experiment console does not record readings in g5 near the main entrance to the space although nearby rooms remain usable at 18:07 case 53',academic,18,71,53,5,Lab_Equipment
'a repeated observation is that internet speed falls below a usable level in cl15-a near the main entrance to the space and staff assistance has been requested at 18:23 case 54',lab,18,86,83,2,Network
'students report that the air conditioner stops cooling after midday in g6 the electrical supply needs inspection near the main entrance to the space at 10:04 case 56',academic,10,71,56,2,Electrical
'please investigate because the campus network drops repeatedly during class in cl1-b the network service is affected although nearby rooms remain usable at 12:36 case 57',lab,12,67,36,4,Network
'staff were informed that an electrical panel is making an unusual sound in reception the electrical supply needs inspection while another campus service remains normal at 13:35 case 58',office,13,59,87,1,Electrical
'staff were informed that a tap continues running after it is closed in ts18 the water service needs attention while another campus service remains normal at 9:47 case 59',academic,9,69,65,1,Water
'staff were informed that an electrical panel is making an unusual sound in academic office the electrical supply needs inspection near the main entrance to the space at 16:20 case 61',office,16,66,66,3,Electrical
'a repeated observation is that the wash area needs urgent sanitation in cs1 while the area is moderately occupied and the issue lasts more than ten minutes at 18:44 case 62',academic,18,66,73,1,Cleanliness
'staff were informed that a tap continues running after it is closed in backstage the water service needs attention and the issue lasts more than ten minutes at 18:58 case 63',common,18,53,65,4,Water
'students report that water is leaking into the walking area in cr102 and it interrupts scheduled teaching and the issue lasts more than ten minutes at 8:38 case 64',academic,8,71,68,2,Water
'please investigate because the drinking-water dispenser is empty in counter a the water service needs attention after normal troubleshooting was attempted at 18:23 case 65',food,18,65,64,4,Water
'an urgent maintenance check is needed because a switchboard becomes warm during operation in cl22-a and the condition has become more frequent while the area is moderately occupied at 17:32 case 66',lab,17,40,39,3,Lab_Equipment
'during the latest session students cannot authenticate to the wireless network in cr201 and the condition has become more frequent near the main entrance to the space at 16:14 case 67',academic,16,36,62,3,Network
'a repeated observation is that the queue extends into the walking area in ece-202 and the issue lasts more than ten minutes and several students are affected at 16:30 case 68',lab,16,42,68,2,Canteen
'an urgent maintenance check is needed because video lectures buffer on the campus connection in cl22-b the network service is affected and several students are affected at 16:05 case 69',lab,16,93,64,1,Network
'students report that several desks have loose or damaged fittings in g6 during a regular teaching period and staff assistance has been requested at 11:19 case 70',academic,11,75,42,4,Infrastructure
'today we noticed that the refill indicator has remained empty in ff6 and several students are affected during a regular teaching period at 10:45 case 73',academic,10,67,79,3,Water
'students report that the wifi signal is unstable for several devices in gate 1 the network service is affected and several students are affected at 8:56 case 74',outdoor,8,26,39,3,Network
'today we noticed that seating capacity is insufficient during the meal break in cl15-b after normal troubleshooting was attempted while the area is moderately occupied at 16:59 case 75',lab,16,75,54,2,Canteen
'staff were informed that a tap continues running after it is closed in student parking after normal troubleshooting was attempted and staff assistance has been requested at 11:36 case 77',outdoor,11,67,75,1,Water
'during the latest session students are waiting too long for food service in student parking the food service operation is affected during a regular teaching period at 16:06 case 78',outdoor,16,28,71,5,Canteen
